material,name,price,rug_id,rug_link
Polypropylene,Gio 8022 W Geometric Rug by Oriental Weavers," £52.99, £87.99, £162.99, £252.99",OW18105,https://www.therugshopuk.co.uk/gio-8022-w-geometric-rug-ow18105.html
Polypropylene,Boho 8280 Cream Grey Rug by Think Rugs,,TR7824,https://www.therugshopuk.co.uk/8280-boho-grey-rug-tr7809.html
Polyester,Chicago Rose Polyester Rug by Origins," £25.00, £43.00, £68.00, £83.00, £138.00, £178.00, £63.00, £78.00",RG4746,https://www.therugshopuk.co.uk/chicago-rose-polyester-rug-rg4746.html
Polypropylene,Da Vinci 057 0801 3233 Black Traditional Rug by Mastercraft,,MC3510,https://www.therugshopuk.co.uk/da-vinci-057-0801-3333-traditional-rug-mc3510.html
Polypropylene,Mehari 023 0067 2959 Multi Designer Abstract Rug By Mastercraft,,MC2020,https://www.therugshopuk.co.uk/mehari-023-0067-2959-designer-abstract-rug-mc2020.html
"Cotton , Wool",Fading World Jade 8258 Designer Luxury Rug By De Poortere," £149.00, £339.00, £493.99, £678.99, £919.00, £1,219.00",DP1513,https://www.therugshopuk.co.uk/fading-world-jade-8258-tapestry-rug-dp1513.html
Wool,Shensi Pink Traditional Wool Rug by Origins," £54.00, £84.00, £159.00, £264.00, £104.00, £59.00, £99.00",RG4205,https://www.therugshopuk.co.uk/shensi-pink-traditional-wool-rug-by-rug-guru-rg4205.html
Polypropylene,Nourison Celestial CES02 Sealife Rug ," £36.00, £99.00, £169.00, £279.00, £369.00, £485.00, £625.00, £54.00, £72.50, £96.00, £71.50, £123.00, £275.00",NR0302,https://www.therugshopuk.co.uk/nourison-celestial-ces02-sealf-rug-nr0302.html
Polyester,Sarouk 561 C Traditional Rug by Oriental Weavers," £137.99, £238.99, £358.99, £513.99, £88.99",OW17605,https://www.therugshopuk.co.uk/sarouk-561-c-traditional-rug-ow17605.html
Polyester,Rabbit 100 White Rug by Unique Rugs," £106.00, £174.00, £293.01, £395.00",AE1605,https://www.therugshopuk.co.uk/rabbit-100-white-rug-ae1605.html
Polypropylene,Florenza 90 X Abstract Rug by Oriental Weavers ,,OW6601-1,https://www.therugshopuk.co.uk/florenza-90-x-abstract-rug-ow6601.html
Polypropylene,Greek Key Flatweave Bordered Brown Rug by Oriental Weavers," £16.99, £28.99, £42.99, £82.00, £28.00, £38.00",OW5715,https://www.therugshopuk.co.uk/greek-key-flatweave-bordered-brown-rug-ow5715.html
Polyester,Chicago Duck Egg Polyester Plain Rug by Origins," £68.00, £83.00, £138.00, £178.00, £283.00, £63.00, £78.00",RG4734,https://www.therugshopuk.co.uk/chicago-duck-egg-polyester-rug-rg4734.html
Polyester,Cashmere 5570 Red Traditional Rug by HMC," £56.99, £88.99, £148.00, £244.00, £75.99",UR8719,https://www.therugshopuk.co.uk/5570-cashmere-red-rug-ur8719.html
"Polyester , Polypropylene",Aurora AU08 Marble Rug by Asiatic,,AS16108,https://www.therugshopuk.co.uk/aurora-au08-marble-rug-as16108.html
"Polyester , Polypropylene",Rossa ROS03 Silver Gold Abstract Rug by Concept Looms," £88.00, £147.33, £256.09, £463.73, £88.00",CL1103,https://www.therugshopuk.co.uk/rossa-ros03-silver-gold-abstract-rug-cl1103.html
"Polyester , Polypropylene",Orion OR02 Decor Grey Rug by Asiatic,,AS16902,https://www.therugshopuk.co.uk/orion-or02-decor-grey-rug-as16902.html
Polypropylene,Sunrise 22368 Multi Nature Print Rug by Think Rugs,,TR8413,https://www.therugshopuk.co.uk/sunrise-22368-multi-nature-print-rug-tr8413.html
Polypropylene,Nourison Celestial CES14 Sunset Rug ," £36.00, £99.00, £169.00, £279.00, £369.00, £485.00, £54.00, £72.50, £96.00, £71.50, £123.00, £275.00",NR0315,https://www.therugshopuk.co.uk/nourison-celestial-ces14-sunset-rug-nr0315.html
Polyester,Rabbit 100 Pink Rug by Unique Rugs," £106.00, £174.00, £293.01, £395.00",AE1604,https://www.therugshopuk.co.uk/rabbit-100-pink-rug-ae1604.html
"Polyester , Polypropylene",Aurora AU03 Solar Rug by Asiatic,,AS16103,https://www.therugshopuk.co.uk/aurora-au03-solar-rug-as16103.html
Polyester,Extravagance Ivory Shaggy Rug by Origins," £35.00, £54.00, £94.00, £164.00, £29.00",RG10805,https://www.therugshopuk.co.uk/extravagance-ivory-shaggy-rug-rg10805.html
Polypropylene,Boho 8280 White/Black Rug By Think Rugs,,TR7811,https://www.therugshopuk.co.uk/8280-boho-white-black-rug-tr7811.html
Cotton,Gallery Expression 9221 Orange Drip Flatweave Rug by Louis De Poortere," £196.00, £389.00, £569.01, £784.00, £1,063.01, £1,409.00",DP3304,https://www.therugshopuk.co.uk/gallery-expression-9221-orange-drip-flatweave-rug-dp3304.html
Polyester,Luxe Faux Fur Natural Plain Shaggy Rug by HMC," £26.99, £56.89, £100.28, £149.46",UR9305,https://www.therugshopuk.co.uk/luxe-faux-fur-natural-plain-shaggy-rug-ur9305.html
Polyester,Dazzle Blush Pink Plain Shaggy Sparkle Rug by Flair Rugs," £26.99, £35.00, £58.00, £105.00",FR10405,https://www.therugshopuk.co.uk/dazzle-blush-pink-plain-shaggy-rug-fr10405.html
"Polyester , Polypropylene",Orion OR01 Decor Pink Rug by Asiatic,,AS16901,https://www.therugshopuk.co.uk/orion-or01-decor-pink-rug-as16901.html
"Polyester , Polypropylene",Poetic Reflection Vintage Grey Rug by Origins," £49.00, £84.00, £154.00",RG12801,https://www.therugshopuk.co.uk/poetic-reflection-vintage-grey-rug-rg12801.html
Polypropylene,Patio PAT12 Diamond Mono Outdoor Rug by Asiatic,,AS08512,https://www.therugshopuk.co.uk/patio-pat12-diamond-mono-rug-as08512.html
Polypropylene,Galleria 063 0529 2626 Grey Abstract Rug by Mastercraft,,MC16158,https://www.therugshopuk.co.uk/galleria-063-0529-2626-abstract-rug-mc16158.html
Polypropylene,Vinci 1401B Traditional Rug by Oriental Weavers," £64.00, £118.00, £188.00, £64.00",OW17305,https://www.therugshopuk.co.uk/vinci-1401b-traditional-rug-ow17305.html
Polypropylene,Vista 4803 Cream Shaggy Rug By Think Rugs ,,TR7217,https://www.therugshopuk.co.uk/vista-4803-cream-shaggy-rug-oc7217.html
"Polyester , Polypropylene",Nourison Rustic Textures RUS08 Grey Blue Rug," £140.00, £229.00, £499.00, £699.00, £99.00, £169.00, £369.00",NR1427,https://www.therugshopuk.co.uk/nourison-rustic-textures-rus08-grey-blue-rug-nr1427.html
Wool,Colours Mustard Plain Wool Rug by Oriental Weavers," £132.99, £242.99",OW17807,https://www.therugshopuk.co.uk/colours-mustard-plain-wool-rug-ow17807.html
